1	2209409
2	94967
3	31032
4	15667
5	9434
6	6226
7	4410
8	3202
9	2533
10	2045
11	1662
12	1388
13	1214
14	1003
15	840
17	639
16	779
19	549
18	641
21	435
20	487
23	344
22	435
25	318
24	350
27	292
26	300
29	280
28	238
31	226
30	221
34	181
2234	1
35	186
32	183
33	192
38	125
39	120
36	165
37	149
42	125
43	109
40	136
41	141
46	91
47	105
44	111
45	102
51	94
50	70
49	99
48	77
55	65
54	70
53	77
52	69
59	63
58	67
57	64
56	65
63	65
62	53
61	57
60	63
68	48
69	46
70	32
71	47
64	57
65	54
66	47
67	47
76	41
77	40
78	34
79	34
72	41
73	47
2258	1
74	47
75	32
85	43
84	27
87	34
86	41
81	48
80	44
83	36
82	32
93	29
92	29
95	30
94	35
89	17
88	28
91	25
90	27
102	25
103	23
100	26
101	19
98	30
99	16
96	22
97	23
110	18
111	21
108	26
109	21
106	25
107	19
104	25
105	16
119	19
118	16
117	9
116	19
115	16
114	17
113	29
112	27
127	14
126	14
125	21
124	13
123	13
122	20
121	14
120	19
137	15
136	10
139	20
138	9
141	13
140	11
143	10
142	10
129	10
128	13
131	16
130	16
133	10
132	11
135	7
134	21
152	8
153	6
154	14
155	17
156	9
157	8
158	11
159	9
144	15
145	21
146	12
147	14
148	11
149	10
150	12
151	13
171	10
170	8
169	5
168	13
175	10
2102	1
174	7
173	10
172	12
163	13
162	7
2106	1
161	5
160	8
167	12
166	13
165	10
164	11
2108	1
186	10
187	4
184	6
185	9
190	6
191	7
188	8
189	3
178	10
179	7
176	4
177	7
182	11
183	11
180	3
2092	1
181	8
205	11
204	7
207	1
206	2
201	6
200	7
203	12
202	5
197	9
196	11
199	10
198	8
193	7
192	13
6504	1
195	8
194	10
220	8
221	5
222	5
223	7
216	9
217	8
218	5
219	8
212	4
213	9
214	9
215	8
208	3
209	2
210	2
211	5
239	4
238	3
237	3
236	4
235	8
234	7
233	3
232	4
231	3
230	5
229	5
228	4
227	5
226	3
225	7
224	3
254	5
2150	1
255	4
252	3
253	3
250	5
251	7
248	1
249	3
246	6
247	2
2156	1
244	6
245	2
242	2
243	1
240	4
2153	1
241	9
275	3
274	3
273	4
272	5
279	4
278	5
277	7
276	3
283	2
282	3
281	5
280	4
287	4
286	2
285	9
284	4
258	9
259	6
256	3
257	7
262	4
263	3
260	6
261	3
266	1
267	2
264	4
265	4
2454	1
270	7
271	3
268	4
269	3
305	3
307	3
309	11
308	1
311	1
310	3
313	5
312	1
315	2
314	3
317	2
316	4
319	4
318	1
288	3
289	4
290	2
291	9
292	2
293	1
294	3
295	4
296	6
297	1
298	3
299	2
300	4
301	2
302	1
303	1
343	3
342	5
2510	1
341	6
340	2
339	5
338	1
337	3
336	5
351	2
350	3
349	7
348	2
347	2
346	2
345	3
344	4
326	3
327	2
324	2
2525	1
325	1
322	5
323	2
320	2
321	2
334	2
335	4
332	2
333	3
330	2
331	3
328	6
329	5
373	1
372	3
375	2
369	2
368	2
371	2
370	2
381	4
380	7
383	2
382	2
377	3
376	5
379	4
378	3
356	3
358	2
359	1
352	1
353	2
354	4
355	2
364	2
365	3
366	3
367	1
360	5
361	2
362	1
410	2
411	3
408	3
415	2
412	1
413	1
402	1
403	1
2312	1
400	1
401	2
406	4
404	1
405	2
395	2
394	2
393	2
392	2
399	2
397	2
396	4
387	2
386	3
385	1
2329	1
384	1
390	1
389	1
443	2
444	1
445	2
446	2
447	1
432	1
2344	1
433	6
434	3
436	3
437	3
2350	1
438	2
439	1
425	3
424	2
429	2
428	2
430	1
2360	1
416	1
419	4
420	2
422	1
479	4
476	1
477	2
474	3
470	2
471	1
468	1
469	2
466	3
464	3
465	1
463	4
462	1
461	1
460	2
459	1
458	2
2384	1
455	2
454	2
453	3
450	2
449	3
448	1
508	1
510	1
511	3
505	1
507	1
500	3
501	2
2414	1
503	1
496	2
497	2
498	1
499	4
493	1
492	4
495	2
494	1
489	1
488	2
491	2
484	1
487	1
486	2
481	6
483	1
482	1
548	3
549	1
546	3
547	3
544	1
545	1
559	1
556	1
557	2
555	1
553	3
567	1
566	1
565	2
563	1
561	1
575	2
574	1
572	2
570	2
568	1
516	2
517	3
519	1
512	2
513	3
515	2
524	2
525	1
527	3
520	2
521	1
522	2
523	1
533	1
532	2
535	2
534	1
529	3
528	1
531	4
540	2
543	1
537	1
536	1
610	2
609	1
615	1
613	1
618	1
616	2
617	1
